# Configurazione 1
FourmiPattern | soddisfatto | Visitati: 13 | Non visitati: 1 | Tempo: 348,3883 | Attesa: 17,55548 | Distanza: 139,6873
FourmiPattern | soddisfatto | Visitati: 14 | Non visitati: 1 | Tempo: 381,9743 | Attesa: 14,96219 | Distanza: 164,4678
PapillonPattern | soddisfatto | Visitati: 17 | Non visitati: 2 | Tempo: 407,0502 | Attesa: 13,79798 | Distanza: 230,4242
PapillonPattern | insoddisfatto | Visitati: 17 | Non visitati: 3 | Tempo: 390,1026 | Attesa: 43,34275 | Distanza: 202,9598
FourmiPattern | soddisfatto | Visitati: 14 | Non visitati: 1 | Tempo: 363,2029 | Attesa: 11,57269 | Distanza: 199,0195
PapillonPattern | insoddisfatto | Visitati: 19 | Non visitati: 2 | Tempo: 432,9955 | Attesa: 33,1147 | Distanza: 236,2907
PapillonPattern | insoddisfatto | Visitati: 17 | Non visitati: 2 | Tempo: 375,3931 | Attesa: 31,85587 | Distanza: 302,8757
PapillonPattern | insoddisfatto | Visitati: 17 | Non visitati: 2 | Tempo: 386,62 | Attesa: 32,71545 | Distanza: 198,6853
FourmiPattern | soddisfatto | Visitati: 15 | Non visitati: 1 | Tempo: 431,2756 | Attesa: 0 | Distanza: 253,1549
PapillonPattern | soddisfatto | Visitati: 20 | Non visitati: 3 | Tempo: 440,6259 | Attesa: 21,19438 | Distanza: 267,2787
FourmiPattern | soddisfatto | Visitati: 51 | Non visitati: 0 | Tempo: 410,0967 | Attesa: 0 | Distanza: 575,4992
FourmiPattern | soddisfatto | Visitati: 54 | Non visitati: 0 | Tempo: 414,9331 | Attesa: 0 | Distanza: 617,9782
SauterellePattern | soddisfatto | Visitati: 125 | Non visitati: 0 | Tempo: 428,5391 | Attesa: 0 | Distanza: 1016,129
FourmiPattern | soddisfatto | Visitati: 49 | Non visitati: 0 | Tempo: 430,5993 | Attesa: 0 | Distanza: 555,6221
FourmiPattern | soddisfatto | Visitati: 20 | Non visitati: 2 | Tempo: 529,0274 | Attesa: 18,11687 | Distanza: 208,1259
# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 126,0544 | Attesa: 2,695231 | Distanza: 177,2973
SauterellePattern | soddisfatto | Visitati: 5 | Non visitati: 1 | Tempo: 85,76355 | Attesa: 5,412951 | Distanza: 125,2198
SauterellePattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 117,6866 | Attesa: 2,184137 | Distanza: 166,0212
SauterellePattern | soddisfatto | Visitati: 11 | Non visitati: 1 | Tempo: 166,2649 | Attesa: 6,495448 | Distanza: 151,1247
# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 0 | Tempo: 104,7236 | Attesa: 0 | Distanza: 80,35854
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 0 | Tempo: 78,52368 | Attesa: 0 | Distanza: 139,5735
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 1 | Tempo: 108,7674 | Attesa: 10,74924 | Distanza: 150,2437
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 1 | Tempo: 116,5337 | Attesa: 0 | Distanza: 155,9481
SauterellePattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 142,8206 | Attesa: 0 | Distanza: 114,0274
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 1 | Tempo: 137,929 | Attesa: 3,613024 | Distanza: 147,8373
SauterellePattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 131,423 | Attesa: 1,736223 | Distanza: 202,8371
SauterellePattern | insoddisfatto | Visitati: 4 | Non visitati: 4 | Tempo: 115,0924 | Attesa: 15,61621 | Distanza: 153,8193
# Configurazione 2
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 196,6421 | Attesa: 2,09969 | Distanza: 178,6926
PoissonPattern | soddisfatto | Visitati: 12 | Non visitati: 0 | Tempo: 227,0504 | Attesa: 0 | Distanza: 203,5065
SauterellePattern | insoddisfatto | Visitati: 3 | Non visitati: 4 | Tempo: 121,7803 | Attesa: 3,094829 | Distanza: 183,487
PoissonPattern | soddisfatto | Visitati: 9 | Non visitati: 2 | Tempo: 174,1688 | Attesa: 14,48479 | Distanza: 106,3396
PoissonPattern | soddisfatto | Visitati: 13 | Non visitati: 0 | Tempo: 222,5618 | Attesa: 0 | Distanza: 159,2557
PoissonPattern | soddisfatto | Visitati: 15 | Non visitati: 0 | Tempo: 256,5927 | Attesa: 0 | Distanza: 179,5424
PoissonPattern | insoddisfatto | Visitati: 8 | Non visitati: 3 | Tempo: 168,8118 | Attesa: 4,494761 | Distanza: 165,1299
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 1 | Tempo: 187,9513 | Attesa: 5,246434 | Distanza: 228,8482
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 2 | Tempo: 133,2466 | Attesa: 22,51137 | Distanza: 153,872
SauterellePattern | insoddisfatto | Visitati: 6 | Non visitati: 2 | Tempo: 124,9825 | Attesa: 0 | Distanza: 297,6652
FourmiPattern | insoddisfatto | Visitati: 6 | Non visitati: 2 | Tempo: 186,2902 | Attesa: 1,346459 | Distanza: 110,3848
PoissonPattern | soddisfatto | Visitati: 13 | Non visitati: 0 | Tempo: 230,6305 | Attesa: 0,468023 | Distanza: 200,3212
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 226,1413 | Attesa: 9,865661 | Distanza: 197,6369
SauterellePattern | insoddisfatto | Visitati: 3 | Non visitati: 3 | Tempo: 91,50736 | Attesa: 9,463592 | Distanza: 126,1677
SauterellePattern | insoddisfatto | Visitati: 5 | Non visitati: 2 | Tempo: 105,4209 | Attesa: 7,969577 | Distanza: 145,8033
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 193,6688 | Attesa: 7,892254 | Distanza: 295,2232
SauterellePattern | insoddisfatto | Visitati: 4 | Non visitati: 2 | Tempo: 73,26743 | Attesa: 7,000956 | Distanza: 172,7003
SauterellePattern | soddisfatto | Visitati: 10 | Non visitati: 0 | Tempo: 147,2818 | Attesa: 10,64226 | Distanza: 167,7392
# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 0 | Tempo: 87,28168 | Attesa: 0 | Distanza: 114,7467
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 0 | Tempo: 98,39451 | Attesa: 0 | Distanza: 117,8316
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 0 | Tempo: 81,8392 | Attesa: 7,496133 | Distanza: 111,603
SauterellePattern | soddisfatto | Visitati: 10 | Non visitati: 0 | Tempo: 133,9898 | Attesa: 0 | Distanza: 138,2397
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 0 | Tempo: 102,7061 | Attesa: 2,009856 | Distanza: 130,7499
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 0 | Tempo: 92,368 | Attesa: 0 | Distanza: 124,306
